Topic,Count,Name,Representation,Representative_Docs
9,107,9_promo_charged_welcome10_code,"['promo', 'charged', 'welcome10', 'code', 'loyalty15', 'ok', 'annual30', 'but', 'flash50', 'percent']","['The promo code WELCOME10 was supposed to give me 20 percent off but I was charged full price.', 'The promo code WELCOME10 was supposed to give me 20 percent off but I was charged full price.', 'The promo code WELCOME10 was supposed to give me 20 percent off but I was charged full price.']"
10,102,10_cannot_mobile_app_for,"['cannot', 'mobile', 'app', 'for', 'bought', 'offline', 'still', 'phone', 'buying', 'version']","['Bought this phone 9 months ago and it is already falling apart. Never buying again.', 'Bought this phone 3 months ago and it is already falling apart. Never buying again.', 'Bought this phone 7 months ago and it is already falling apart. Never buying again.']"
11,99,11_delivery_shipping_express_paid,"['delivery', 'shipping', 'express', 'paid', 'um', 'so', 'for', 'it', 'hi', 'but']","['I paid for express shipping but it is taking longer than standard delivery. Ridiculous.', 'I paid for express shipping but it is taking longer than standard delivery. Ridiculous.', 'I paid for express shipping but it is taking longer than standard delivery. Ridiculous.']"
12,99,12_cancel_trying_21_days,"['cancel', 'trying', '21', 'days', 'been', 'account', '22', '24', 'for', '23']","['Cancel my account NOW. I have been trying for 2 days and nobody is helping me.', 'Cancel my account NOW. I have been trying for 2 days and nobody is helping me.', 'Cancel my account NOW. I have been trying for 7 days and nobody is helping me.']"
13,86,13_service_refund_charged_full,"['service', 'refund', 'charged', 'full', 'for', 'why', 'cancelled', '', '', '']","['Why am I being charged for a service I cancelled 2 days ago? I want a full refund.', 'Why am I being charged for a service I cancelled 2 days ago? I want a full refund.', 'Why am I being charged for a service I cancelled 5 days ago? I want a full refund.']"
14,77,14_received_recieved_delivered_hi,"['received', 'recieved', 'delivered', 'hi', 'as', 'was', 'order', 'my', 'um', 'but']","['My order was marked as delivered but I never received it.', 'My order was marked as delivered but I never received it.', 'My order was marked as delivered but I never received it.']"
15,76,15_requesting_cannot_mobile_app,"['requesting', 'cannot', 'mobile', 'app', 'customers', 'over', 'product', 'been', 'you', 'this']","['Been requesting API access for over a year now. You do not listen to customers.', 'Been requesting API access for over a year now. You do not listen to customers.', 'Been requesting API access for over a year now. You do not listen to customers.']"
16,76,16_on_laptop__,"['on', 'laptop', '', '', '', '', '', '', '', '']","['My laptop makes a loud grinding noise whenever I turn it on.', 'My laptop makes a loud grinding noise whenever I turn it on.', 'My laptop makes a loud grinding noise whenever I turn it on.']"
17,76,17_stopped_months_days_on,"['stopped', 'months', 'days', 'on', 'buying', '21', 'screen', 'bought', 'quality', 'my']","['Bought this speaker 5 months ago and it is already falling apart. Never buying again.', 'Bought this speaker 6 months ago and it is already falling apart. Never buying again.', 'Bought this speaker 9 months ago and it is already falling apart. Never buying again.']"
18,75,18_reset_errors_cannot_login,"['reset', 'errors', 'cannot', 'login', 'account', 'log', 'your', 'password', 'keeps', 'my']","['Your login page keeps throwing errors. Cannot access my account in 7 days.', 'Your login page keeps throwing errors. Cannot access my account in 6 days.', 'Your login page keeps throwing errors. Cannot access my account in 9 days.']"
19,73,19_account_locked_got_for,"['account', 'locked', 'got', 'for', 'now', '', '', '', '', '']","['My account got locked for no reason. I need access RIGHT NOW.', 'My account got locked for no reason. I need access RIGHT NOW.', 'My account got locked for no reason. I need access RIGHT NOW.']"
20,73,20_account_got_um_for,"['account', 'got', 'um', 'for', 'ok', '', '', '', '', '']","['My account got locked for no reason. I need access RIGHT NOW.', 'My account got locked for no reason. I need access RIGHT NOW.', 'My account got locked for no reason. I need access RIGHT NOW.']"
21,71,21_broken_arrived_ok_my,"['broken', 'arrived', 'ok', 'my', 'box', 'damaged', '', '', '', '']","['My item arrived completely damaged. The box was crushed and the product inside is broken.', 'My item arrived completely damaged. The box was crushed and the product inside is broken.', 'My item arrived completely damaged. The box was crushed and the product inside is broken.']"
22,70,22_resolved_email_account_,"['resolved', 'email', 'account', '', '', '', '', '', '', '']","['Someone hacked my account and changed the email. I need this resolved urgently.', 'Someone hacked my account and changed the email. I need this resolved urgently.', 'Someone hacked my account and changed the email. I need this resolved urgently.']"
23,67,23_cancel_cancellation_your_just,"['cancel', 'cancellation', 'your', 'just', 'difficult', 'process', 'let', '', '', '']","['Your cancellation process is intentionally difficult. Just let me cancel.', 'Your cancellation process is intentionally difficult. Just let me cancel.', 'Your cancellation process is intentionally difficult. Just let me cancel.']"
24,66,24_unauthorized_account_404_approve,"['unauthorized', 'account', '404', 'approve', 'did', 'charge', '409', '454', '481', '362']","['I noticed an unauthorized charge of $393 on my account. I did NOT approve this.', 'I noticed an unauthorized charge of $25 on my account. I did NOT approve this.', 'I noticed an unauthorized charge of $25 on my account. I did NOT approve this.']"
25,65,25_charged_code_promo_summer25,"['charged', 'code', 'promo', 'summer25', 'supposed', 'price', 'full', 'me', 'save20', '']","['The promo code SAVE20 was supposed to give me 20 percent off but I was charged full price.', 'The promo code SAVE20 was supposed to give me 20 percent off but I was charged full price.', 'The promo code SAVE20 was supposed to give me 20 percent off but I was charged full price.']"
26,65,26_unreliable_try_crashing_save,"['unreliable', 'try', 'crashing', 'save', 'version', 'use', '', '', '', '']","['Software keeps crashing every time I try to use the custom reports function. Totally unreliable.', 'Software keeps crashing every time I try to use the custom reports function. Totally unreliable.', 'Software keeps crashing every time I try to use the custom reports function. Totally unreliable.']"
27,62,27_delivered_order_received_marked,"['delivered', 'order', 'received', 'marked', 'as', 'my', 'it', '', '', '']","['My order was marked as delivered but I never received it.', 'My order was marked as delivered but I never received it.', 'My order was marked as delivered but I never received it.']"
28,58,28_subscription_cancel_service_your,"['subscription', 'cancel', 'service', 'your', 'my', 'been', 'um', 'want', '', '']","['I want to cancel my subscription effective immediately. Your service has been terrible.', 'I want to cancel my subscription effective immediately. Your service has been terrible.', 'I want to cancel my subscription effective immediately. Your service has been terrible.']"
29,58,29_cancel_issues_service_support,"['cancel', 'issues', 'service', 'support', 'done', 'ok', 'thsi', 'this', 'um', 'hey']","['I am done with this service. Too many issues, too little support. Cancel everything.', 'I am done with this service. Too many issues, too little support. Cancel everything.', 'I am done with this service. Too many issues, too little support. Cancel everything.']"
30,56,30_reset_login_account_password,"['reset', 'login', 'account', 'password', 'cannot', 'access', 'log', 'errors', 'still', 'your']","['Your login page keeps throwing errors. Cannot access my account in 20 days.', 'Your login page keeps throwing errors. Cannot access my account in 5 days.', 'Your login page keeps throwing errors. Cannot access my account in 5 days.']"
31,54,31_refund_issue_cannot_billing,"['refund', 'issue', 'cannot', 'billing', 'hi', 'resolve', 'cancellation', 'ok', 'want', 'you']","['If you cannot resolve this billing issue today, I want a full cancellation and refund.', 'If you cannot resolve this billing issue today, I want a full cancellation and refund.', 'If you cannot resolve this billing issue today, I want a full cancellation and refund.']"
32,54,32_cancellation_billing_refund_issue,"['cancellation', 'billing', 'refund', 'issue', 'cannot', 'full', '', '', '', '']","['If you cannot resolve this billing issue today, I want a full cancellation and refund.', 'If you cannot resolve this billing issue today, I want a full cancellation and refund.', 'If you cannot resolve this billing issue today, I want a full cancellation and refund.']"
33,54,33_shipping_express_paid_delivery,"['shipping', 'express', 'paid', 'delivery', 'for', 'ridiculous', '', '', '', '']","['I paid for express shipping but it is taking longer than standard delivery. Ridiculous.', 'I paid for express shipping but it is taking longer than standard delivery. Ridiculous.', 'I paid for express shipping but it is taking longer than standard delivery. Ridiculous.']"
34,53,34_refund_charged_cancelled_service,"['refund', 'charged', 'cancelled', 'service', 'full', 'want', 'for', 'am', '21', '24']","['Why am I being charged for a service I cancelled 16 days ago? I want a full refund.', 'Why am I being charged for a service I cancelled 16 days ago? I want a full refund.', 'Why am I being charged for a service I cancelled 16 days ago? I want a full refund.']"
35,53,35_cancel_cancellation_let_your,"['cancel', 'cancellation', 'let', 'your', 'um', 'difficult', 'hi', '', '', '']","['Your cancellation process is intentionally difficult. Just let me cancel.', 'Your cancellation process is intentionally difficult. Just let me cancel.', 'Your cancellation process is intentionally difficult. Just let me cancel.']"
36,52,36_billing_fix_broken_for,"['billing', 'fix', 'broken', 'for', 'um', 'your', '', '', '', '']","['Your billing system is broken. I have been overcharged for the 2nd time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 2nd time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 2nd time. Fix this or I am leaving.']"
37,50,37_billing_overcharged_fix_broken,"['billing', 'overcharged', 'fix', 'broken', 'been', 'system', 'this', 'your', 'for', 'look']","['Your billing system is broken. I have been overcharged for the 3rd time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 3rd time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 3rd time. Fix this or I am leaving.']"
38,50,38_order_mine_received_happen,"['order', 'mine', 'received', 'happen', '', '', '', '', '', '']","['Received someone elses order instead of mine. How does this even happen?', 'Received someone elses order instead of mine. How does this even happen?', 'Received someone elses order instead of mine. How does this even happen?']"
39,50,39_stopped_cannot_still_working,"['stopped', 'cannot', 'still', 'working', 'for', 'bought', 'again', 'on', 'buying', 'already']","['The screen on my camera stopped working after just 3 days. Terrible quality.', 'The screen on my camera stopped working after just 6 days. Terrible quality.', 'The screen on my camera stopped working after just 7 days. Terrible quality.']"
40,50,40_billing_fix_broken_your,"['billing', 'fix', 'broken', 'your', 'overcharged', 'ok', 'am', 'system', 'so', 'have']","['Your billing system is broken. I have been overcharged for the 5th time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 5th time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 5th time. Fix this or I am leaving.']"
41,49,41_how_order_received_ok,"['how', 'order', 'received', 'ok', 'happen', 'mine', '', '', '', '']","['Received someone elses order instead of mine. How does this even happen?', 'Received someone elses order instead of mine. How does this even happen?', 'Received someone elses order instead of mine. How does this even happen?']"
42,49,42_stopped_hi_bought_buying,"['stopped', 'hi', 'bought', 'buying', 'workng', 'working', 'after', 'on', 'and', 'my']","['The screen on my headphones stopped working after just 2 days. Terrible quality.', 'The screen on my headphones stopped working after just 5 days. Terrible quality.', 'The screen on my headphones stopped working after just 4 days. Terrible quality.']"
43,49,43_hacked_account_resolved_email,"['hacked', 'account', 'resolved', 'email', 'my', 'changed', '', '', '', '']","['Someone hacked my account and changed the email. I need this resolved urgently.', 'Someone hacked my account and changed the email. I need this resolved urgently.', 'Someone hacked my account and changed the email. I need this resolved urgently.']"
44,49,44_charged_keep_getting_fraudulent,"['charged', 'keep', 'getting', 'fraudulent', 'my', 'this', '', '', '', '']","['I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.']"
45,47,45_stopped_days_working_terrible,"['stopped', 'days', 'working', 'terrible', 'on', 'after', 'ok', 'so', 'hi', 'phone']","['The screen on my router stopped working after just 2 days. Terrible quality.', 'The screen on my router stopped working after just 9 days. Terrible quality.', 'The screen on my router stopped working after just 9 days. Terrible quality.']"
46,47,46_billing_broken_fix_for,"['billing', 'broken', 'fix', 'for', 'overcharged', 'your', 'is', 'been', 'am', 'have']","['Your billing system is broken. I have been overcharged for the 4th time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 4th time. Fix this or I am leaving.', 'Your billing system is broken. I have been overcharged for the 4th time. Fix this or I am leaving.']"
47,46,47_broke_ok_defect_use,"['broke', 'ok', 'defect', 'use', 'on', 'hours', 'unusable', '', '', '']","['Battery drains from 100 to 0 in 3 hours. Completely unusable.', 'Battery drains from 100 to 0 in 3 hours. Completely unusable.', 'Battery drains from 100 to 0 in 3 hours. Completely unusable.']"
48,46,48_subscription_cancel_service_been,"['subscription', 'cancel', 'service', 'been', 'terrible', 'your', 'ok', 'so', '', '']","['I want to cancel my subscription effective immediately. Your service has been terrible.', 'I want to cancel my subscription effective immediately. Your service has been terrible.', 'I want to cancel my subscription effective immediately. Your service has been terrible.']"
49,46,49_charged_fraudulent_um_getting,"['charged', 'fraudulent', 'um', 'getting', 'this', '', '', '', '', '']","['I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.']"
50,46,50_buying_bought_working_,"['buying', 'bought', 'working', '', '', '', '', '', '', '']","['The screen on my smartwatch stopped working after just 5 days. Terrible quality.', 'The screen on my smartwatch stopped working after just 7 days. Terrible quality.', 'The screen on my smartwatch stopped working after just 2 days. Terrible quality.']"
51,45,51_cancel_charging_tried_card,"['cancel', 'charging', 'tried', 'card', 'through', 'please', 'your', 'hi', 'my', '']","['Please stop charging my card. I have tried to cancel 2 times through your website.', 'Please stop charging my card. I have tried to cancel 3 times through your website.', 'Please stop charging my card. I have tried to cancel 3 times through your website.']"
52,45,52_time_has_happened_this,"['time', 'has', 'happened', 'this', 'delivered', 'thsi', '', '', '', '']","['Package was delivered to the wrong address. This is the 2nd time this has happened.', 'Package was delivered to the wrong address. This is the 2nd time this has happened.', 'Package was delivered to the wrong address. This is the 2nd time this has happened.']"
53,45,53_charged_fraudulent_keep_plan,"['charged', 'fraudulent', 'keep', 'plan', 'after', 'um', '', '', '', '']","['I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.']"
54,43,54_cancel_service_issues_,"['cancel', 'service', 'issues', '', '', '', '', '', '', '']","['I am done with this service. Too many issues, too little support. Cancel everything.', 'I am done with this service. Too many issues, too little support. Cancel everything.', 'I am done with this service. Too many issues, too little support. Cancel everything.']"
55,43,55_happened_delivered_address_,"['happened', 'delivered', 'address', '', '', '', '', '', '', '']","['Package was delivered to the wrong address. This is the 4th time this has happened.', 'Package was delivered to the wrong address. This is the 4th time this has happened.', 'Package was delivered to the wrong address. This is the 4th time this has happened.']"
56,40,56_fraudulent_my_after_keep,"['fraudulent', 'my', 'after', 'keep', 'this', 'getting', 'charged', 'plan', '', '']","['I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.', 'I keep getting charged even after downgrading my plan. This is borderline fraudulent.']"
57,40,57_broken_damaged_arrived_item,"['broken', 'damaged', 'arrived', 'item', 'product', '', '', '', '', '']","['My item arrived completely damaged. The box was crushed and the product inside is broken.', 'My item arrived completely damaged. The box was crushed and the product inside is broken.', 'My item arrived completely damaged. The box was crushed and the product inside is broken.']"
